Image Name,Mode,Channel,MEAN(X),MEAN(Y),VAR(X),VAR(Y),"COV(X,Y)","Correlation(X,Y)"
02_Baboon_en.bmp,DD,G Channel,127.73,127.74,5462.56,5461.14,1.27,0.000232
02_Baboon_en.bmp,DD,B Channel,127.58,127.58,5467.04,5467.44,-4.97,-0.000908
03_Lena.bmp,HD,R Channel,180.23,180.27,2405.18,2404.77,2356.34,0.979777
03_Lena.bmp,HD,G Channel,99.03,99.12,2793.85,2796.31,2708.63,0.969071
03_Lena.bmp,HD,B Channel,105.40,105.46,1159.69,1160.23,1081.95,0.932746
03_Lena.bmp,VD,R Channel,180.24,180.18,2405.18,2408.64,2381.20,0.989319
03_Lena.bmp,VD,G Channel,99.07,99.03,2796.91,2799.93,2749.44,0.982497
03_Lena.bmp,VD,B Channel,105.42,105.42,1160.26,1161.82,1111.82,0.957608
03_Lena.bmp,DD,R Channel,180.24,180.22,2404.56,2407.63,2333.18,0.969697
03_Lena.bmp,DD,G Channel,99.05,99.10,2794.72,2800.21,2673.12,0.955550
03_Lena.bmp,DD,B Channel,105.41,105.46,1160.01,1162.11,1066.19,0.918290
03_Lena_en.bmp,HD,R Channel,127.47,127.48,5467.70,5467.65,-5.85,-0.001070
03_Lena_en.bmp,HD,G Channel,127.18,127.16,5457.55,5456.89,-8.24,-0.001509
03_Lena_en.bmp,HD,B Channel,127.46,127.44,5468.84,5469.44,1.47,0.000269
03_Lena_en.bmp,VD,R Channel,127.47,127.47,5468.26,5467.57,-4.75,-0.000869
03_Lena_en.bmp,VD,G Channel,127.17,127.17,5457.41,5457.20,13.90,0.002547
03_Lena_en.bmp,VD,B Channel,127.45,127.45,5469.01,5470.36,-3.43,-0.000627
03_Lena_en.bmp,DD,R Channel,127.47,127.48,5468.53,5467.80,19.35,0.003539
03_Lena_en.bmp,DD,G Channel,127.17,127.16,5457.84,5456.91,-2.26,-0.000413
03_Lena_en.bmp,DD,B Channel,127.46,127.44,5467.97,5469.92,-0.20,-0.000036
04_Peppers.bmp,HD,R Channel,149.88,149.93,2040.67,2035.28,1963.64,0.963529
04_Peppers.bmp,HD,G Channel,115.56,115.79,5631.02,5616.75,5517.71,0.981121
04_Peppers.bmp,HD,B Channel,66.51,66.66,1961.26,1956.35,1893.23,0.966521
04_Peppers.bmp,VD,R Channel,149.75,149.82,2041.71,2035.48,1969.97,0.966341
04_Peppers.bmp,VD,G Channel,115.50,115.79,5630.88,5616.75,5521.33,0.981778
04_Peppers.bmp,VD,B Channel,66.47,66.31,1958.11,1937.74,1882.51,0.966428
04_Peppers.bmp,DD,R Channel,149.81,149.93,2041.66,2030.01,1947.03,0.956381
04_Peppers.bmp,DD,G Channel,115.49,116.02,5629.98,5601.45,5439.71,0.968662
04_Peppers.bmp,DD,B Channel,66.45,66.44,1958.21,1932.91,1843.96,0.947797
04_Peppers_en.bmp,HD,R Channel,127.48,127.48,5455.49,5455.21,1.30,0.000238
04_Peppers_en.bmp,HD,G Channel,127.69,127.70,5455.41,5456.17,-1.80,-0.000331
04_Peppers_en.bmp,HD,B Channel,127.55,127.55,5461.92,5461.08,18.71,0.003426
04_Peppers_en.bmp,VD,R Channel,127.47,127.47,5455.30,5455.86,-5.81,-0.001065
04_Peppers_en.bmp,VD,G Channel,127.70,127.69,5456.57,5456.04,23.57,0.004320
04_Peppers_en.bmp,VD,B Channel,127.54,127.55,5460.97,5459.90,3.49,0.000640
04_Peppers_en.bmp,DD,R Channel,127.47,127.48,5454.82,5455.10,-18.31,-0.003357
04_Peppers_en.bmp,DD,G Channel,127.70,127.70,5456.06,5456.28,0.92,0.000168
04_Peppers_en.bmp,DD,B Channel,127.54,127.55,5461.53,5459.61,1.43,0.000263
05_Sailboat.bmp,HD,R Channel,131.06,131.08,1831.50,1829.12,1749.40,0.955794
05_Sailboat.bmp,HD,G Channel,124.34,124.55,6030.25,6008.80,5847.91,0.971491
05_Sailboat.bmp,HD,B Channel,114.94,115.12,5905.75,5890.35,5727.25,0.971042
05_Sailboat.bmp,VD,R Channel,131.01,131.00,1833.55,1826.22,1745.90,0.954107
05_Sailboat.bmp,VD,G Channel,124.28,124.55,6029.98,6008.80,5816.30,0.966261
05_Sailboat.bmp,VD,B Channel,114.88,114.86,5905.93,5914.20,5729.09,0.969380
05_Sailboat.bmp,DD,R Channel,131.06,131.08,1833.65,1823.91,1722.69,0.941994
05_Sailboat.bmp,DD,G Channel,124.32,124.79,6032.92,5990.14,5728.72,0.952960
05_Sailboat.bmp,DD,B Channel,114.92,115.09,5907.00,5899.90,5625.76,0.952962
05_Sailboat_en.bmp,HD,R Channel,127.43,127.43,5469.32,5469.03,-3.30,-0.000604
05_Sailboat_en.bmp,HD,G Channel,127.55,127.56,5458.82,5459.39,3.81,0.000698
05_Sailboat_en.bmp,HD,B Channel,127.79,127.79,5462.66,5462.71,-1.18,-0.000216
05_Sailboat_en.bmp,VD,R Channel,127.41,127.44,5468.98,5469.83,6.67,0.001219
05_Sailboat_en.bmp,VD,G Channel,127.56,127.56,5459.40,5459.48,7.02,0.001285
05_Sailboat_en.bmp,VD,B Channel,127.79,127.79,5462.72,5462.01,11.26,0.002061
05_Sailboat_en.bmp,DD,R Channel,127.42,127.44,5468.93,5469.53,-21.99,-0.004020
05_Sailboat_en.bmp,DD,G Channel,127.57,127.57,5458.53,5459.21,-1.67,-0.000306
05_Sailboat_en.bmp,DD,B Channel,127.78,127.79,5463.12,5462.51,1.06,0.000195
06_Splash.bmp,HD,R Channel,176.47,176.48,3558.90,3557.91,3535.61,0.993595
06_Splash.bmp,HD,G Channel,70.48,70.63,3646.62,3637.14,3573.33,0.981176
06_Splash.bmp,HD,B Channel,79.95,79.95,2184.39,2184.16,2146.24,0.982587
06_Splash.bmp,VD,R Channel,176.39,176.45,3571.35,3561.87,3549.29,0.995143
06_Splash.bmp,VD,G Channel,70.43,70.57,3625.62,3642.93,3587.53,0.987140
06_Splash.bmp,VD,B Channel,79.70,79.97,2156.07,2183.34,2123.96,0.978934
06_Splash.bmp,DD,R Channel,176.59,176.66,3557.42,3546.96,3514.71,0.989452
06_Splash.bmp,DD,G Channel,70.42,70.70,3632.47,3640.25,3531.38,0.971131
06_Splash.bmp,DD,B Channel,79.71,79.99,2160.01,2187.05,2097.11,0.964859
06_Splash_en.bmp,HD,R Channel,127.65,127.64,5462.75,5462.79,11.70,0.002142
06_Splash_en.bmp,HD,G Channel,127.49,127.49,5460.35,5460.98,13.58,0.002487
06_Splash_en.bmp,HD,B Channel,127.47,127.47,5450.26,5450.34,16.07,0.002948
06_Splash_en.bmp,VD,R Channel,127.64,127.63,5462.01,5462.91,-7.03,-0.001287
06_Splash_en.bmp,VD,G Channel,127.49,127.50,5460.16,5461.45,-2.02,-0.000370
06_Splash_en.bmp,VD,B Channel,127.46,127.47,5450.05,5449.47,-14.55,-0.002669
06_Splash_en.bmp,DD,R Channel,127.65,127.63,5462.09,5463.01,3.50,0.000640
06_Splash_en.bmp,DD,G Channel,127.49,127.50,5459.47,5461.41,4.99,0.000914
06_Splash_en.bmp,DD,B Channel,127.46,127.47,5449.90,5449.37,0.24,0.000045
